# decode — 5 iterations


****** Process <0.171.0>  --  100.00% of total *** 
FUNCTION                                                      CALLS  TIME (us)  PER CALL  [    %]
json:decode/1                                                     5          0      0.00  [ 0.00]
json:true/6                                                       5          0      0.00  [ 0.00]
json:number_minus/6                                              10          0      0.00  [ 0.00]
json:terminate/5                                                  5          0      0.00  [ 0.00]
'Elixir.Spectral.Codec':'__convert_result__'/1                   20          0      0.00  [ 0.00]
'Elixir.Enumerable.Range':'member?'/2                            10          0      0.00  [ 0.00]
'Elixir.Enum':map/2                                               1          0      0.00  [ 0.00]
'Elixir.Enum':map_range/4                                         3          0      0.00  [ 0.00]
'Elixir.Enum':'member?'/2                                        10          0      0.00  [ 0.00]
'Elixir.Enum':to_list/1                                          10          0      0.00  [ 0.00]
spectra_json:to_binary_for_pattern/3                             15          0      0.00  [ 0.00]
spectra_json:map_field_type_from_json_list/5                     15          0      0.00  [ 0.00]
application:get_env/3                                            15          0      0.00  [ 0.00]
'Elixir.Spectral.Codec.DateTime':decode/7                        10          0      0.00  [ 0.00]
'Elixir.Spectral.Codec.DateTime':'decode (overridable 1)'/7      10          0      0.00  [ 0.00]
'Elixir.Spectral':convert_result/1                                5          0      0.00  [ 0.00]
'Elixir.Spectral':decode/3                                        5          0      0.00  [ 0.00]
'Elixir.Spectral':decode/5                                        5          0      0.00  [ 0.00]
spectra:default_decode/6                                          5          0      0.00  [ 0.00]
spectra:resolve_type_ref/2                                        5          0      0.00  [ 0.00]
spectra:maybe_codec_decode/7                                      5          0      0.00  [ 0.00]
spectra:valid_module_types_cache/1                                5          0      0.00  [ 0.00]
spectra:maybe_clear_local_cache/1                                 5          0      0.00  [ 0.00]
spectra:json_decode/1                                             5          0      0.00  [ 0.00]
'Elixir.Spectral.Codec.MapSet':decode/7                          10          0      0.00  [ 0.00]
'Elixir.Spectral.Codec.MapSet':'decode (overridable 1)'/7        10          0      0.00  [ 0.00]
'Elixir.BenchAddress':'__struct__'/0                             10          0      0.00  [ 0.00]
'Elixir.Spectral.Type':type_args/1                               10          0      0.00  [ 0.00]
elixir_compiler_2:'-__FILE__/1-fun-5-'/0                          5          0      0.00  [ 0.00]
elixir_compiler_2:'-__FILE__/1-fun-1-'/2                          5          0      0.00  [ 0.00]
spectra_util:map_until_error/2                                   15          0      0.00  [ 0.00]
