# encode — 5 iterations


****** Process <0.175.0>  --  100.00% of total *** 
FUNCTION                                                      CALLS  TIME (us)  PER CALL  [    %]
json:encode/1                                                     5          0      0.00  [ 0.00]
json:encode/2                                                     5          0      0.00  [ 0.00]
spectra_json:map_typed_field_to_json_list/5                      15          0      0.00  [ 0.00]
spectra_json:to_binary_for_pattern/3                             15          0      0.00  [ 0.00]
'Elixir.Spectral.Codec.DateTime':encode/7                        10          0      0.00  [ 0.00]
'Elixir.Spectral':convert_result/1                                5          0      0.00  [ 0.00]
'Elixir.Spectral':encode/3                                        5          0      0.00  [ 0.00]
spectra:valid_module_types_cache/1                                5          0      0.00  [ 0.00]
'Elixir.Spectral.Type':type_args/1                               10          0      0.00  [ 0.00]
elixir_compiler_2:'-__FILE__/1-fun-1-'/2                          5          0      0.00  [ 0.00]
spectra_util:type_replace_vars/3                                  5          0      0.00  [ 0.00]
spectra_type:type_args/1                                         10          0      0.00  [ 0.00]
'Elixir.Enumerable':impl_for/1                                   10          0      0.00  [ 0.00]
proplists:get_value/3                                             5          0      0.00  [ 0.00]
'Elixir.Calendar.ISO':microseconds_to_iodata/2                   10          0      0.00  [ 0.00]
'Elixir.Calendar.ISO':offset_to_iodata/4                         10          0      0.00  [ 0.00]
'Elixir.Calendar.ISO':scale_factor/1                             10          0      0.00  [ 0.00]
'Elixir.Calendar.ISO':time_to_iodata/5                           10          0      0.00  [ 0.00]
'Elixir.Range':new/2                                              1          0      0.00  [ 0.00]
'Elixir.DateTime':to_iso8601/1                                   10          0      0.00  [ 0.00]
'Elixir.Spectral.Codec':'__convert_result__'/1                   20          1      0.05  [ 0.09]
'Elixir.Enum':map/2                                               1          1      1.00  [ 0.09]
'Elixir.Enum':map_range/4                                         3          1      0.33  [ 0.09]
'Elixir.Enum':reduce_while/3                                     10          1      0.10  [ 0.09]
sets:from_list/2                                                 15          1      0.07  [ 0.09]
sets:to_list/1                                                   10          1      0.10  [ 0.09]
'Elixir.MapSet':to_list/1                                        10          1      0.10  [ 0.09]
'Elixir.Spectral.Codec.DateTime':'encode (overridable 1)'/7      10          1      0.10  [ 0.09]
'Elixir.Spectral':encode/5                                        5          1      0.20  [ 0.09]
spectra:resolve_type_ref/2                                        5          1      0.20  [ 0.09]
spectra:maybe_codec_encode/7                                      5          1      0.20  [ 0.09]
'Elixir.Spectral.Codec.MapSet':encode/7                          10          1      0.10  [ 0.09]
'Elixir.Spectral.Codec.MapSet':encode_elements/4                 10          1      0.10  [ 0.09]
elixir_compiler_2:'-__FILE__/1-fun-6-'/1                          5          1      0.20  [ 0.09]
spectra_util:normalize_type_ref/2                                 5          1      0.20  [ 0.09]
spectra_type:set_meta/2                                          15          1      0.07  [ 0.09]
erlang:'++'/2                                                    15          1      0.07  [ 0.09]
'Elixir.Enumerable':'impl_for!'/1                                10          1      0.10  [ 0.09]
maps:find/2                                                       5          1      0.20  [ 0.09]
maps:keys/1                                                      10          1      0.10  [ 0.09]
maps:merge/2                                                     15          1      0.07  [ 0.09]
maps:to_list_internal/1                                          30          1      0.03  [ 0.09]
'Elixir.Calendar.ISO':date_to_iodata/4                           10          1      0.10  [ 0.09]
'Elixir.Calendar.ISO':date_to_iodata_guarded/4                   10          1      0.10  [ 0.09]
'Elixir.Calendar.ISO':time_to_iodata_format/4                    10          1      0.10  [ 0.09]
'Elixir.Calendar.ISO':time_to_iodata_guarded/5                   10          1      0.10  [ 0.09]
lists:filter/2                                                   15          1      0.07  [ 0.09]
lists:partition/2                                                30          1      0.03  [ 0.09]
'Elixir.DateTime':datetime_to_iodata/8                           10          1      0.10  [ 0.09]
'Elixir.DateTime':to_iso8601/3                                   10          1      0.10  [ 0.09]
'Elixir.DateTime':to_iso8601_iodata/3                            10          1      0.10  [ 0.09]
spectra_type_info:find_type/3                                     5          1      0.20  [ 0.09]
json:do_encode_list/2                                            25          2      0.08  [ 0.18]
sets:from_list/1                                                 15          2      0.13  [ 0.18]
spectra_json:list_to_json/4                                      15          2      0.13  [ 0.18]
spectra_json:map_typed_field_to_json/3                           15          2      0.13  [ 0.18]
application:get_env/3                                            15          2      0.13  [ 0.18]
spectra:encode/5                                                  5          2      0.40  [ 0.18]
spectra:do_encode/6                                              10          2      0.20  [ 0.18]
spectra:default_encode/6                                          5          2      0.40  [ 0.18]
spectra:get_config/0                                              5          2      0.40  [ 0.18]
spectra_type:update_meta/2                                       15          2      0.13  [ 0.18]
erts_internal:mc_iterator/1                                      30          2      0.07  [ 0.18]
sp_error:type_mismatch/2                                         65          2      0.03  [ 0.18]
'Elixir.Enumerable':reduce/3                                     10          2      0.20  [ 0.18]
maps:from_keys/2                                                 15          2      0.13  [ 0.18]
lists:reverse/2                                                  40          2      0.05  [ 0.18]
